sample,metric,TP,FP,FN,prec,rec,f1
SAMN04014847,pan_uni_diff,9803,10410,259521,0.485,0.036,0.068
SAMN04014847,pan_ass_diff,3114,2178,280626,0.588,0.011,0.022
SAMEA3357272,pangenome_mix,396045,1046606,8837,0.275,0.978,0.429
SAMEA3357272,pangenome_skes,389388,1053263,7357,0.27,0.981,0.423
SAMEA3357272,pangenome_uni,383043,1059608,5305,0.266,0.986,0.418
SAMEA3357272,skesa,408100,433426,8974,0.485,0.978,0.648
SAMEA3357272,unicycler,404594,1584915,3949,0.203,0.99,0.337
SAMEA3357272,pan_ske_diff,2598,625932,394147,0.004,0.007,0.005
SAMEA3357272,pan_uni_diff,124,111189,388224,0.001,0.0,0.0
SAMEA3357272,pan_ass_diff,124,91824,404758,0.001,0.0,0.0
SAMN16357470,pangenome_mix,275139,251754,11358,0.522,0.96,0.677
SAMN16357470,pangenome_skes,269630,257263,10157,0.512,0.964,0.668
SAMN16357470,pangenome_uni,267973,258920,6656,0.509,0.976,0.669
SAMN16357470,skesa,291151,331468,8797,0.468,0.971,0.631
SAMN16357470,unicycler,290755,469704,5585,0.382,0.981,0.55
SAMN16357470,pan_ske_diff,2449,155700,277338,0.015,0.009,0.011
SAMN16357470,pan_uni_diff,0,42479,274629,0.0,0.0,0.0
SAMN16357470,pan_ass_diff,1193,29426,285304,0.039,0.004,0.008
SAMN16357448,pangenome_mix,208273,4185,13071,0.98,0.941,0.96
SAMN16357448,pangenome_skes,208273,4185,8936,0.98,0.959,0.969
SAMN16357448,pangenome_uni,206403,6055,11355,0.972,0.948,0.96
SAMN16357448,skesa,206461,0,10748,1.0,0.951,0.975
SAMN16357448,unicycler,207010,0,10748,1.0,0.951,0.975
SAMN16357448,pan_ske_diff,1812,4185,215397,0.302,0.008,0.016
SAMN16357448,pan_uni_diff,1812,6055,215946,0.23,0.008,0.016
SAMN16357448,pan_ass_diff,1812,4185,219532,0.302,0.008,0.016
SAMN03024583,pangenome_mix,193391,122326,10326,0.613,0.949,0.745
SAMN03024583,pangenome_skes,187325,128392,5913,0.593,0.969,0.736
SAMN03024583,pangenome_uni,185699,130018,4413,0.588,0.977,0.734
SAMN03024583,skesa,194177,0,9291,1.0,0.954,0.977
SAMN03024583,unicycler,199104,955111,3048,0.173,0.985,0.294
SAMN03024583,pan_ske_diff,5822,119738,187416,0.046,0.03,0.037
SAMN03024583,pan_uni_diff,2189,121967,187923,0.018,0.012,0.014
SAMN03024583,pan_ass_diff,3300,109946,200417,0.029,0.016,0.021
SAMN16357449,pangenome_mix,290066,1201,13499,0.996,0.956,0.975
SAMN16357449,pangenome_skes,288710,2557,11755,0.991,0.961,0.976
SAMN16357449,pangenome_uni,287696,3571,12445,0.988,0.959,0.973
SAMN16357449,skesa,289911,0,11755,1.0,0.961,0.98
SAMN16357449,unicycler,289402,0,11940,1.0,0.96,0.98
SAMN16357449,pan_ske_diff,0,1356,300465,0.0,0.0,0.0
SAMN16357449,pan_uni_diff,153,2370,299988,0.061,0.001,0.001
SAMN16357449,pan_ass_diff,153,0,303412,1.0,0.001,0.001
SAMN16357471,pangenome_mix,176246,3721,1644,0.979,0.991,0.985
SAMN16357471,pangenome_skes,176246,3721,0,0.979,1.0,0.99
SAMN16357471,pangenome_uni,175424,4543,1644,0.975,0.991,0.983
SAMN16357471,skesa,177304,0,0,1.0,1.0,1.0
SAMN16357471,unicycler,178126,0,0,1.0,1.0,1.0
SAMN16357471,pan_ske_diff,0,2663,176246,0.0,0.0,0.0
SAMN16357471,pan_uni_diff,0,4297,177068,0.0,0.0,0.0
SAMN16357471,pan_ass_diff,0,2417,177890,0.0,0.0,0.0
