	sample	tool	precision	recall	f1
234	SAMN16357455	0.pbf.pan.uni	0.983735782919391	0.9941843221437534	0.9889324548617665
235	SAMN16357452	0.pbf.pan.uni	0.9878669176374828	0.975603833384272	0.981697080253532
236	SAMN11056344	0.pbf.pan.uni	0.9788887622706628	0.9732262512867326	0.9760492941399903
237	SAMD00056131	0.pbf.pan.uni	0.7898985684021314	0.8992472319329573	0.8410334987098353
238	SAMEA3357268	0.pbf.pan.uni	0.9808503927155373	0.9813901930099114	0.981120218614857
239	SAMN07312488	0.pbf.pan.uni	0.9886069682732754	0.9164615132118825	0.9511681568624978
240	SAMN16357205	0.pbf.pan.uni	0.15180651667420106	1.0	0.26359725262283945
241	SAMN03996301	0.pbf.pan.uni	0.9254447861012361	0.963210558281178	0.9439500878022422
242	SAMEA3357080	0.pbf.pan.ske	0.9876501856841186	0.9711450337953946	0.9793280720882042
243	SAMN10163233	0.pbf.pan.ske	0.2839022342962633	0.9899732025432862	0.4412607323566228
244	SAMN07312490	0.pbf.pan.ske	0.9679829563406686	0.9742537494245632	0.971108229799836
245	SAMEA3357223	0.pbf.pan.ske	0.25871347398619177	0.9947110552763819	0.4106272802470641
246	SAMN04014852	0.pbf.pan.ske	0.9924202613273004	0.8070929023892911	0.8902133813239909
247	SAMN03024573	0.pbf.pan.ske	0.9741954503021668	0.9930036309002128	0.9835096290968615
248	SAMN04014855	0.pbf.pan.ske	1.0	0.8991694325946421	0.9469080716681485
249	SAMN02786856	0.pbf.pan.ske	0.9852215965129967	0.9779409442602243	0.9815677697476861
250	SAMN16357501	0.pbf.pan.ske	0.06092472157869763	1.0	0.11485211031380106
251	SAMN16357457	0.pbf.pan.ske	0.7969496099404594	0.9599928988480354	0.8709060910707959
252	SAMN16357468	0.pbf.pan.ske	0.9938543417366946	0.9620814013395157	0.9777098058667107
253	SAMN16357450	0.pbf.pan.ske	0.9853557439224058	0.9918349125288407	0.9885847122474186
254	SAMN11056346	0.pbf.pan.ske	0.9696656249135713	0.9987864215959981	0.9840106202936298
255	SAMN16357466	0.pbf.pan.ske	0.9256984728305907	0.9487661717197762	0.9370903834198443
256	SAMN16357459	0.pbf.pan.ske	0.0	0.0	0.0
257	SAMN16357461	0.pbf.pan.ske	0.9875340518772948	0.981489111241907	0.984502302515055
258	SAMN04014847	0.pbf.pan.ske	0.9785632527122524	0.8644105051452352	0.917951600761721
259	SAMEA3357328	0.pbf.pan.ske	0.9943901844631073	0.9907776646712179	0.9925806376160736
260	SAMN16357467	0.pbf.pan.ske	0.9645703051471357	0.9070865212516964	0.9349456698021407
261	SAMN16357458	0.pbf.pan.ske	0.9945739888113273	0.9825877703542117	0.9885445473423152
262	SAMN16357451	0.pbf.pan.ske	0.9939569933327905	0.9363205235820717	0.9642782701037578
263	SAMN16357456	0.pbf.pan.ske	0.9556583365026398	0.9691573320283502	0.9623604991146071
264	SAMN11056490	0.pbf.pan.ske	0.8541052601407354	0.7257696554411717	0.7847250111373727
265	SAMN10163228	0.pbf.pan.ske	0.309171421152726	0.9260325801366264	0.4635716991455869
266	SAMN07312483	0.pbf.pan.ske	0.9918380657652583	0.9563557682158815	0.9737737988753643
267	SAMEA3357077	0.pbf.pan.ske	0.9880433770716419	0.9837087103144896	0.9858712790636746
268	SAMEA3357272	0.pbf.pan.ske	0.974601501581006	0.9835259423559213	0.979043384772488
269	SAMN16357470	0.pbf.pan.ske	0.9745084692608418	0.9773506274415895	0.9759274790770713
270	SAMN16357448	0.pbf.pan.ske	1.0	0.9834905551795736	0.9916765699855165
271	SAMN04014858	0.pbf.pan.ske	0.6302327329208107	0.5228786697843596	0.5715583980370217
272	SAMN04014860	0.pbf.pan.ske	0.9718424915438126	0.9970535854591168	0.9842866284443699
273	SAMN04014856	0.pbf.pan.ske	1.0	0.8592485856803942	0.9242966134794194
274	SAMN03024583	0.pbf.pan.ske	0.9267438079540741	0.8554580362040592	0.8896752526829059
275	SAMN02991226	0.pbf.pan.ske	0.9659039970115801	0.7378667789089197	0.8366248336723923
276	SAMN16357245	0.pbf.pan.ske	0.9946397055115728	0.9881619157356846	0.9913902291917972
277	SAMN16357453	0.pbf.pan.ske	0.9768382977447816	0.9184380949994989	0.9467384374520833
278	SAMN11056345	0.pbf.pan.ske	0.9767851042022548	0.954257201028003	0.9653897452347588
279	SAMN16357454	0.pbf.pan.ske	0.9177932729689734	0.9911426520579113	0.9530587660752075
280	SAMN16357462	0.pbf.pan.ske	0.0	0.0	0.0
281	SAMN16357465	0.pbf.pan.ske	0.9911826452064381	0.8885528444547165	0.937066053831958
282	SAMN16357464	0.pbf.pan.ske	0.9957178054913344	0.9492042808363799	0.9719048491674405
283	SAMN16357463	0.pbf.pan.ske	0.9483444629133051	0.9818199261284597	0.9647919066459658
284	SAMN16357455	0.pbf.pan.ske	0.987479559538765	0.9785924426732322	0.9830159151564268
285	SAMN16357452	0.pbf.pan.ske	1.0	0.9826784771037341	0.9912635744543064
286	SAMN11056344	0.pbf.pan.ske	0.9795174280112136	0.9739839127576473	0.9767428332280327
287	SAMD00056131	0.pbf.pan.ske	0.8088890569217225	0.8804216194608068	0.8431408424934203
288	SAMEA3357268	0.pbf.pan.ske	0.9837825165130881	0.9907787858178598	0.9872682565682217
289	SAMN07312488	0.pbf.pan.ske	0.9927256514297341	0.9758993969701427	0.9842406154229549
290	SAMN16357205	0.pbf.pan.ske	0.15459664282172958	1.0	0.26779333507138803
291	SAMN03996301	0.pbf.pan.ske	0.9365163376167266	0.973004194516437	0.954411654025305
292	SAMEA3357080	100.pbf.uni	0.7373417349789819	0.9759214097558159	0.8400199206805149
293	SAMN07312490	100.pbf.uni	0.42191309982290626	0.978498207713189	0.5895999407685284
294	SAMEA3357223	100.pbf.uni	0.07659869066293774	0.8985401381443964	0.14116348576568608
295	SAMN04014852	100.pbf.uni	0.9652451980729178	0.7725010438975768	0.8581838994891784
296	SAMN03024573	100.pbf.uni	0.9870598445621118	0.9801969651485953	0.9836164340964745
297	SAMN04014855	100.pbf.uni	0.9813711171174196	0.8843727464813591	0.9303505021193521
